Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount
2023-01-31,2023-03-14,42,1,2023-6252,36633.88,36633.88
2018-11-29,2019-01-09,41,1,2018/4518,40034.11,27633.0
2018-11-29,2019-01-09,41,1,2018/4518,40034.11,12401.11
2023-10-13,2023-11-23,41,1,2023-6584,39356.89,39356.89
2023-09-30,2023-11-09,40,1,2023-6571,1224560.51,1224560.51
2019-07-17,2019-08-25,39,1,2019-4816,74562.15,74562.15
2019-07-17,2019-08-25,39,1,2019-4816,89704.31,89704.31
2022-01-31,2022-03-08,36,1,2022-5787,571605.74,571605.74
2022-03-14,2022-04-15,32,1,2022-5837,587192.18,587192.18
2023-01-24,2023-02-25,32,1,2023-6246,92659.1,92659.1
2022-02-28,2022-03-29,29,1,2022-5817,401600.77,291087.57
2023-09-25,2023-10-24,29,1,2023-6546,68823.04,68823.04
2022-05-31,2022-06-28,28,1,2022-5921,772011.15,772011.15
2019-01-10,2019-02-07,28,1,2019-4581,425292.32,425292.32
2019-01-10,2019-02-07,28,1,2019-4581,308482.12,308482.12
2019-01-10,2019-02-07,28,1,2019-4581,46435.98,46435.98
2018-07-19,2018-08-14,26,1,2018/4355,262354.87,262354.87
2018-07-19,2018-08-14,26,1,2018/4355,351286.74,351286.74
2018-07-19,2018-08-14,26,1,2018/4355,43099.35,43099.35
2018-07-19,2018-08-14,26,1,2018/4355,53288.54,53288.54
2022-06-29,2022-07-22,23,1,2022-5936,438185.84,438185.84
2019-07-11,2019-07-16,5,1,2019-4809,74562.15,74562.15
2019-07-11,2019-07-16,5,1,2019-4809,52559.3,52559.3
2014-11-30,2015-04-23,144,2,E14/643,15557.24,15557.24
2022-09-15,2022-10-13,28,3,2022-6059,148081.97,148081.97
2016-06-30,2017-03-14,257,4,2016/3131,72457.01,72457.01
2016-08-30,2017-03-14,196,4,2016/3232,72457.01,21188.02
2016-08-30,2017-06-19,293,4,2016/3232,72457.01,51269.0
2017-05-30,2017-06-19,20,4,2017/3712,32276.48,32276.48
2015-01-31,2015-03-16,44,4,2015/1045,21834.81,21834.81
2015-02-28,2015-05-03,64,4,2015/1057,21834.81,21834.81
2015-03-30,2015-05-03,34,4,2015/1074,21834.81,21834.81
2015-04-30,2015-05-03,3,4,2015/1094,21834.81,21834.81
2015-05-31,2016-04-03,308,4,2015/2405,21834.81,21834.81
2015-06-29,2016-04-03,279,4,2015/2453,21834.81,21834.81
2015-07-30,2016-04-03,248,4,2015/2528,21834.81,21834.81
2015-08-30,2016-04-03,217,4,2015/2574,21834.81,21834.81
2015-09-30,2016-04-03,186,4,2015/2620,21834.81,21834.81
2015-10-29,2016-04-03,157,4,2015/2677,21834.81,4581.9
2015-10-29,2017-03-14,502,4,2015/2677,21834.81,17252.91
2015-11-29,2017-03-14,471,4,2015/2739,21834.81,21834.81
2015-12-31,2017-03-14,439,4,2015/2798,21834.81,21834.81
2016-01-31,2017-03-14,408,4,2016/2886,21834.81,21834.81
2016-02-29,2017-03-14,379,4,2016/2918,21834.81,21834.81
2016-03-30,2017-03-14,349,4,2016/2985,21834.81,21834.81
2016-04-28,2017-03-14,320,4,2016/3036,21834.81,21834.81
2016-09-29,2017-06-19,263,4,2016/3280,21834.81,21834.81
2016-10-30,2017-06-19,232,4,2016/3325,21834.81,21834.81
2016-11-30,2017-06-19,201,4,2016/3405,21834.81,21834.81
2016-12-29,2017-06-19,172,4,2016/3430,21834.81,21834.81
2017-01-31,2017-06-19,139,4,2017/3501,12736.3,12736.3
2017-02-28,2017-06-19,111,4,2017/3539,12736.3,12736.3
2017-03-30,2017-06-19,81,4,2017/3599,12736.3,12736.3
2017-06-29,2017-06-29,0,4,2017/3762,12736.3,12736.3
2015-05-12,2016-04-03,327,4,2015/2381,18276.52,18276.52
2018-01-22,2018-01-30,8,5,2018/4098,16473.16,16473.16
2018-01-23,2018-02-06,14,5,2018/4099,5189.78,5189.78
2015-05-21,2016-03-01,285,6,2015/2389,275316.7,275316.7
2015-08-31,2016-03-01,183,6,2015/2583,212759.08,212759.08
2015-06-30,2016-03-01,245,6,2015/2477,302209.17,302209.17
2015-01-28,2015-03-08,39,6,2015/2283,108348.87,108348.87
2015-02-26,2015-05-20,83,6,2015/2308,125238.89,125238.89
2016-07-31,2018-07-31,730,6,2016/3197,83232.76,83232.76
2015-04-30,2016-01-12,257,6,2015/2365,61628.37,61628.37
2016-06-30,2018-07-31,761,6,2016/3154,52687.84,52687.84
2015-03-31,2016-01-12,287,6,2015/2340,94403.88,94403.88
2015-04-30,2016-01-12,257,6,2015/2365,87365.39,87365.39
2015-03-31,2016-01-12,287,6,2015/2340,55312.72,55312.72
