Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount
2015-05-11,2015-05-14,3,41,2015/2379,57478.09,57478.09
2015-06-30,2015-11-17,140,41,2015/2472,54518.44,53064.61
2015-06-30,2016-04-14,289,41,2015/2472,54518.44,1453.82
2015-06-30,2016-04-14,289,41,2015/2472,54518.44,54518.44
2015-05-10,2015-05-12,2,41,2015/2375,100991.34,100991.34
2015-06-30,2015-11-17,140,41,2015/2471,100991.34,100991.34
2015-06-29,2015-08-04,36,41,2015/2454,100991.34,100991.34
2015-07-05,2015-11-17,135,41,2015/2492,100991.34,100991.34
2015-08-30,2016-04-14,228,41,2015/2576,100991.34,100991.34
2015-08-30,2016-04-14,228,41,2015/2577,100991.34,100991.34
2016-09-29,2019-03-31,913,41,2016/3286,100991.34,100991.34
2016-11-17,2017-04-11,145,41,2016/3365,100991.34,100991.34
2016-07-18,2016-10-06,80,41,2016/3171,69302.74,69302.74
2016-09-25,2017-01-19,116,41,2016/3275,69302.74,69302.74
2015-05-11,2015-05-14,3,41,2015/2379,68801.25,68801.25
2015-06-30,2015-11-03,126,41,2015/2468,68801.25,68801.25
2015-07-05,2015-08-04,30,41,2015/2493,68801.25,68801.25
2015-07-31,2015-11-03,95,41,2015/2514,68801.25,68801.25
2015-09-30,2016-04-14,197,41,2015/2612,68801.25,68801.25
2015-09-30,2016-04-14,197,41,2015/2614,68801.25,68801.25
2016-10-10,2017-01-19,101,41,2016/3313,68801.25,68801.25
2017-02-28,2017-06-01,93,41,2017/3535,68801.25,68801.25
2022-10-31,2022-12-29,59,41,2022-6126,36055.9,36055.9
2022-04-30,2022-11-02,186,41,2022-5885,25512.0,25512.0
2022-10-31,2022-12-29,59,41,2022-6125,24783.14,24783.14
2016-11-17,2017-03-20,123,41,2016/3367,12736.3,12736.3
2016-11-17,2017-03-20,123,41,2016/3368,12736.3,12736.3
2015-05-11,2015-05-14,3,41,2015/2379,16325.01,16325.01
2015-06-30,2015-11-03,126,41,2015/2467,16325.01,16325.01
2015-06-30,2015-11-03,126,41,2015/2468,16325.01,16325.01
2015-07-05,2015-08-04,30,41,2015/2493,16325.01,16325.01
2015-07-31,2015-11-03,95,41,2015/2514,16325.01,16325.01
2015-09-30,2016-04-14,197,41,2015/2612,16325.01,16325.01
2015-09-30,2016-04-14,197,41,2015/2614,16325.01,16325.01
2015-09-30,2016-04-14,197,41,2015/2613,16325.01,16325.01
2016-10-10,2017-01-19,101,41,2016/3313,16325.01,16325.01
2017-02-28,2017-06-01,93,41,2017/3535,16325.01,16325.01
2015-06-30,2015-11-03,126,41,2015/2467,7818.61,7818.61
2015-09-30,2016-04-14,197,41,2015/2613,7818.61,7818.61
2022-06-30,2022-08-17,48,42,2022-5941,116909.06,58454.53
2022-06-30,2022-09-20,82,42,2022-5941,116909.06,58454.53
2022-06-30,2022-07-07,7,42,2022-5943,116909.06,116909.06
2022-08-31,2022-08-31,0,42,2022-6025,116909.06,116909.06
2015-08-31,2015-09-02,2,43,2015/2567,57110.03,57110.03
2019-05-30,2019-09-16,109,43,2019-4752,116909.06,116909.06
2015-08-31,2015-09-02,2,43,2015/2567,77014.08,77014.08
2019-04-30,2019-09-04,127,43,2019-4732,63755.24,63755.24
2019-04-30,2019-09-04,127,43,2019-4732,63755.24,63755.24
2019-04-30,2019-09-04,127,43,2019-4732,63755.24,63755.24
2019-04-30,2019-09-04,127,43,2019-4732,63755.24,63755.24
2019-05-30,2019-09-04,97,43,2019-4748,63755.24,63755.24
2019-06-30,2019-09-16,78,43,2019-4803,63755.24,63755.24
2019-04-30,2019-09-04,127,43,2019-4732,41486.85,41486.85
2019-08-19,2019-09-16,28,43,2019-4856,41486.85,41486.85
2019-09-09,2019-09-16,7,43,2019-4885,41486.85,41486.85
2019-09-30,2019-11-05,36,43,2019-4913,41486.85,41486.85
2019-11-06,2019-12-09,33,43,2019-4961,41486.85,41486.85
2022-08-31,2022-12-07,98,43,2022-6029,41486.85,20743.42
2022-08-31,2023-06-14,287,43,2022-6029,41486.85,20743.42
2015-06-07,2015-06-07,0,43,2015/2426,27570.29,27570.29
2018-11-29,2018-12-11,12,43,2018/4503,17774.53,17774.53
2018-12-30,2019-01-20,21,43,2018/4549,17774.53,17774.53
2019-01-31,2019-02-05,5,43,2019-4592,17774.53,17774.53
2019-02-28,2019-03-10,10,43,2019-4639,17774.53,17774.53
2019-03-31,2019-05-05,35,43,2019-4677,17774.53,17774.53
2019-04-30,2019-06-02,33,43,2019-4728,17774.53,17774.53
2019-05-30,2019-08-29,91,43,2019-4747,17774.53,17774.53
2019-06-30,2019-08-29,60,43,2019-4799,17774.53,17774.53
2019-07-31,2019-08-29,29,43,2019-4826,17774.53,17774.53
2019-08-29,2019-09-16,18,43,2019-4861,17774.53,17774.53
2019-09-30,2019-11-05,36,43,2019-4916,17774.53,17774.53
2019-10-30,2019-12-09,40,43,2019-4943,17774.53,17774.53
2019-11-28,2020-01-13,46,43,2019-4969,17774.53,17774.53
2019-12-30,2020-02-29,61,43,2019-5007,17774.53,17774.53
2015-06-07,2015-06-07,0,43,2015/2426,20225.4,20225.4
2016-12-29,2017-01-23,25,43,2016/3432,14971.52,14971.52
2017-01-31,2018-12-31,699,43,2017/3491,14971.52,14971.52
2017-02-28,2018-12-31,671,43,2017/3538,14971.52,14971.52
2022-10-31,2022-11-29,29,43,2022-6116,13420.44,13420.44
2022-06-29,2023-06-14,350,43,2022-5934,15015.46,15015.46
2023-08-08,2023-08-21,13,43,2023-6501,15015.46,15015.46
2016-12-29,2017-01-23,25,43,2016/3432,12736.3,12736.3
2017-01-31,2018-12-31,699,43,2017/3491,12736.3,12736.3
2017-02-28,2018-12-31,671,43,2017/3538,12736.3,12736.3
2019-04-30,2019-09-04,127,43,2019-4732,28174.11,28174.11
2019-11-28,2020-01-13,46,43,2019-4971,28174.11,28174.11
2019-12-30,2020-02-29,61,43,2019-5009,28174.11,28174.11
2022-01-31,2022-05-12,101,43,2022-5779,28174.11,28174.11
2022-02-28,2022-05-12,73,43,2022-5825,28174.11,28174.11
2022-03-31,2022-05-12,42,43,2022-5841,28174.11,10956.6
2022-03-31,2022-12-07,251,43,2022-5841,28174.11,17217.51
2022-04-29,2022-10-17,171,43,2022-5877,28174.11,28174.11
2022-05-31,2022-10-17,139,43,2022-5908,28174.11,28174.11
2022-06-30,2022-10-17,109,43,2022-5939,28174.11,28174.11
2022-09-30,2023-06-14,257,43,2022-6068,28174.11,28174.11
2022-10-31,2022-11-29,29,43,2022-6117,28174.11,28174.11
2022-11-30,2023-06-14,196,43,2022-6165,28174.11,18335.53
2022-11-30,2024-02-22,449,43,2022-6165,28174.11,9838.58
2022-12-31,2024-02-22,418,43,2022-6223,28174.11,28174.11
2023-01-31,2024-02-22,387,43,2023-6258,28174.11,28174.11
2018-09-23,2018-09-26,3,43,2018/4429,17435.27,17435.27
2019-05-22,2019-06-02,11,43,2019-4742,17790.92,17790.92
2019-06-16,2019-08-29,74,43,2019-4777,17790.92,17790.92
2019-06-30,2019-08-29,60,43,2019-4802,17790.92,17790.92
2019-08-19,2019-08-29,10,43,2019-4855,17790.92,17790.92
2019-09-09,2019-09-16,7,43,2019-4886,17790.92,17790.92
2019-10-14,2019-11-05,22,43,2019-4924,17790.92,1.47
2019-10-14,2019-11-05,22,43,2019-4924,17790.92,17789.45
2019-11-06,2019-12-09,33,43,2019-4962,17790.92,17790.92
2019-11-28,2020-01-13,46,43,2019-4970,17790.92,17790.92
2019-12-30,2020-02-29,61,43,2019-5008,17790.92,17790.92
2016-11-30,2016-12-05,5,43,2016/3409,15557.24,15557.24
2022-01-31,2022-05-12,101,43,2022-5780,12432.09,12432.09
2022-03-31,2022-12-07,251,43,2022-5842,12432.09,12432.09
2022-05-31,2024-02-22,632,43,2022-5909,12432.09,12432.09
2022-08-18,2024-02-22,553,43,2022-6003,12432.09,12432.09
2022-11-30,2024-02-22,449,43,2022-6164,12432.09,12432.09
2023-03-31,2023-04-27,27,44,2023-6363,106075.73,106075.73
2022-08-31,2023-03-03,184,44,2022-6026,59922.56,59922.56
2022-08-31,2023-01-30,152,44,2022-6045,55685.14,55685.14
2022-07-31,2022-09-02,33,44,2022-5989,25512.0,25512.0
2022-06-30,2022-09-02,64,44,2022-5947,31578.29,31578.29
2023-11-30,2024-02-07,69,44,2023-6653,17931.38,17931.38
2023-08-31,2023-08-31,0,44,2023-6535,15015.46,15015.46
2022-06-30,2023-08-22,418,44,2022-5946,17435.27,17435.27
2023-09-30,2023-11-29,60,44,2023-6573,17435.27,17435.27
2023-05-31,2023-09-18,110,44,2023-6425,5497.8,5497.8
2019-03-12,2019-03-12,0,45,JV190305,61098.44,61098.44
2015-05-11,2015-05-11,0,45,2015/2377,32276.48,32276.48
2016-06-30,2016-08-08,39,45,2016/3142,14868.0,14868.0
2016-06-30,2016-08-08,39,45,2016/3143,14868.0,14868.0
2016-06-29,2016-08-08,40,45,2016/3144,14868.0,14868.0
2016-06-29,2016-08-08,40,45,2016/3144,14868.0,14868.0
2016-06-29,2016-08-08,40,45,2016/3145,14868.0,14868.0
2016-06-29,2016-08-08,40,45,2016/3145,14868.0,14868.0
2016-08-30,2016-11-01,63,45,2016/3242,14868.0,14868.0
2016-08-31,2016-11-01,62,45,2016/3256,14868.0,14868.0
2016-09-30,2016-11-01,32,45,2016/3308,14868.0,14868.0
2016-08-30,2016-08-30,0,45,2016/3237,18929.1,18929.1
2016-08-30,2016-08-30,0,45,2016/3237,15557.24,15557.24
2015-05-11,2015-05-11,0,45,2015/2377,7188.86,7188.86
2015-02-28,2015-04-12,43,46,E15/665,105251.33,57.89
2015-02-28,2015-04-12,43,46,E15/665,105251.33,105193.44
2015-03-31,2015-09-30,183,46,E15/679,105251.33,78938.5
2015-03-31,2015-10-14,197,46,E15/679,105251.33,594.67
2015-03-31,2015-10-14,197,46,E15/679,105251.33,25718.16
2023-09-20,2024-01-18,120,47,2023-6556,1096013.57,1096013.57
2022-05-30,2022-08-08,70,47,2022-5904,1109158.89,1109158.89
2022-03-31,2022-05-30,60,47,2022-5844,732598.01,732598.01
2022-05-30,2022-05-31,1,47,2022-5904,715481.46,19675.74
2022-05-30,2022-05-31,1,47,2022-5904,715481.46,8943.52
2022-05-30,2022-05-31,1,47,2022-5904,715481.46,45933.91
2022-05-30,2022-05-31,1,47,2022-5904,715481.46,123957.16
2022-05-30,2022-05-31,1,47,2022-5904,715481.46,71548.15
2022-05-30,2022-08-08,70,47,2022-5904,715481.46,445422.98
2023-09-20,2023-09-20,0,47,2023-6556,479206.74,403947.95
2023-09-20,2024-01-18,120,47,2023-6556,479206.74,75258.79
2022-07-31,2023-02-28,212,47,2022-5975,243520.82,243520.82
2022-03-31,2022-05-30,60,47,2022-5844,276623.27,276623.27
2022-07-31,2023-02-28,212,47,2022-5975,276623.27,245151.66
2022-07-31,2023-02-28,212,47,2022-5975,276623.27,31471.62
2022-07-31,2023-02-28,212,47,2022-5975,336129.21,336129.21
2022-05-30,2022-08-08,70,47,2022-5904,303400.09,303400.09
2022-03-31,2022-05-30,60,47,2022-5844,372767.12,372767.12
2023-02-28,2023-09-20,204,47,2023-6295,255343.44,255343.44
2023-02-28,2023-09-20,204,47,2023-6298,312498.99,312498.99
2023-02-28,2023-09-20,204,47,2023-6293,294217.04,16252.21
2023-02-28,2023-09-20,204,47,2023-6293,294217.04,277964.83
2022-07-31,2023-02-28,212,47,2022-5975,267922.5,267922.5
2023-02-28,2023-09-20,204,47,2023-6296,186428.22,186428.22
2022-02-28,2022-03-22,22,47,2022-5834,131511.89,131511.89
2022-02-28,2022-03-22,22,47,2022-5834,131511.89,131511.89
2022-07-31,2023-02-28,212,47,2022-5975,91838.18,91838.18
2022-05-31,2023-03-02,275,47,2022-5911,138310.38,138310.38
2023-02-28,2023-09-20,204,47,2023-6298,95381.75,95381.75
2023-02-28,2023-09-20,204,47,2023-6294,173648.74,173648.74
2022-05-30,2022-08-08,70,47,2022-5904,159193.35,159193.35
2022-05-31,2023-03-02,275,47,2022-5911,109809.51,109809.51
2023-02-28,2023-09-20,204,47,2023-6297,155390.12,155390.12
2022-07-12,2022-09-01,51,47,2022-5963,101698.39,101698.39
2023-02-28,2023-09-20,204,47,2023-6292,114268.0,114268.0
2023-02-28,2023-09-20,204,47,2023-6293,97917.65,97917.65
2022-07-31,2023-02-28,212,47,2022-5975,113319.69,113319.69
2022-09-30,2022-10-26,26,47,2022-6083,139479.44,139479.44
2022-05-31,2023-03-02,275,47,2022-5911,77060.38,77060.38
2022-02-28,2022-03-22,22,47,2022-5834,68194.92,68194.92
2022-02-28,2022-03-22,22,47,2022-5834,68194.92,68194.92
2022-05-30,2022-08-08,70,47,2022-5904,68194.92,68194.92
2022-06-30,2022-09-01,63,47,2022-5942,68194.92,68194.92
2022-01-06,2022-05-31,145,47,2022-5765,87933.74,87933.74
2022-03-22,2022-06-22,92,47,2022-5839,87933.74,87933.74
2022-03-22,2022-06-22,92,47,2022-5838,113638.87,113638.87
2022-09-30,2022-10-26,26,47,2022-6083,117764.09,43223.86
2022-09-30,2022-10-26,26,47,2022-6083,117764.09,74540.23
2022-01-06,2022-05-31,145,47,2022-5765,48876.06,48876.06
2022-02-28,2022-03-22,22,47,2022-5834,48876.06,48876.06
2022-03-22,2022-06-22,92,47,2022-5839,48876.06,48876.06
2022-02-28,2022-03-22,22,47,2022-5834,48876.06,48876.06
2022-09-30,2023-04-18,200,47,2022-6095,43940.81,43940.81
2022-07-31,2023-02-28,212,47,2022-5975,87086.53,87086.53
2023-02-28,2023-09-20,204,47,2023-6294,43723.99,43723.99
2022-05-31,2023-03-02,275,47,2022-5911,52731.45,52731.45
2022-08-31,2023-04-18,230,47,2022-6046,57494.87,57494.87
2022-09-30,2023-09-20,355,47,2022-6084,38341.92,38341.92
2023-02-28,2023-09-20,204,47,2023-6292,63858.82,63858.82
2022-05-30,2022-08-08,70,47,2022-5904,40417.01,40417.01
2022-10-26,2023-04-18,174,47,2022-6112,42399.64,42399.64
2022-10-26,2023-04-18,174,47,2022-6112,44749.31,44749.31
2023-04-13,2023-06-07,55,47,2023-6366,44749.31,44749.31
2022-07-31,2023-02-28,212,47,2022-5975,58067.53,58067.53
2023-02-28,2023-09-20,204,47,2023-6299,35063.12,35063.12
2022-03-22,2022-06-22,92,47,2022-5838,28645.34,28645.34
2022-11-18,2022-12-09,21,47,2022-6144,39652.1,39652.1
2022-07-31,2023-02-28,212,47,2022-5975,47378.54,47378.54
2022-07-31,2023-02-28,212,47,2022-5975,26834.1,26834.1
2022-05-31,2023-03-02,275,47,2022-5911,39233.41,39233.41
2022-09-30,2022-10-26,26,47,2022-6083,20565.52,20565.51
2022-09-30,2022-10-26,26,47,2022-6083,20565.52,0.01
2023-04-13,2023-06-07,55,47,2023-6366,36017.49,36017.49
2022-09-30,2023-09-20,355,47,2022-6084,15566.35,15566.35
2022-07-31,2022-09-15,46,47,2022-5979,30102.56,30102.56
2023-02-28,2023-09-20,204,47,2023-6298,28233.01,28233.01
2022-09-15,2022-09-30,15,47,2022-6058,31847.28,31847.28
2023-02-10,2023-06-07,117,47,2023-6279,13420.44,13420.44
2023-02-28,2023-09-20,204,47,2023-6293,27986.16,19836.59
2023-02-28,2023-09-20,204,47,2023-6293,27986.16,8149.57
2023-04-13,2023-06-07,55,47,2023-6366,10873.96,10873.96
2022-10-26,2023-04-18,174,47,2022-6112,9175.9,9175.9
2022-07-31,2023-02-28,212,47,2022-5975,16989.17,16989.17
2022-09-30,2023-09-20,355,47,2022-6084,11262.8,11262.8
2014-10-30,2015-02-01,94,48,2014/2201,22048.09,22048.09
2023-01-31,2023-06-02,122,49,2023-6270,128174.74,128174.74
2022-12-08,2023-01-05,28,49,2022-6195,25685.74,25685.74
2019-12-17,2020-02-26,71,50,2019-5001,488006.28,488006.28
2019-10-21,2019-11-20,30,50,2019-4932,288082.62,288082.62
2019-12-17,2020-02-26,71,50,2019-5001,81675.4,81675.4
2019-10-21,2019-11-20,30,50,2019-4932,59262.23,59262.23
2015-01-29,2015-05-05,96,51,2015/2284,366941.89,366941.89
2015-03-31,2015-05-05,35,51,2015/2341,252034.59,252034.59
2015-04-30,2015-09-14,137,51,2015/2366,244015.11,244015.11
2015-06-30,2015-09-14,76,51,2015/2478,101769.79,101769.79
2022-04-27,2022-06-03,37,51,JV220429,7581.99,7581.99
2019-02-27,2019-02-27,0,52,2019-4649,52760.3,52760.3
2019-02-27,2019-02-27,0,52,2019-4649,52760.3,52760.3
2019-05-30,2019-06-26,27,52,2019-4771,73547.41,73547.41
2019-06-27,2019-07-03,6,52,2019-4788,68538.88,68538.88
2019-07-03,2019-08-26,54,52,2019-4806,68538.88,68538.88
2019-09-23,2019-11-25,63,52,2019-4891,34256.99,34256.99
2019-07-11,2019-08-26,46,52,2019-4808,40032.42,40032.42
2019-02-28,2019-07-11,133,52,2019-4652,59733.27,59733.27
2019-02-28,2019-04-24,55,52,2019-4650,27093.05,27093.05
2018-11-29,2019-02-14,77,52,2018/4517,28787.87,28787.87
2019-01-31,2019-02-26,26,52,2019-4611,28787.87,3290.04
2019-01-31,2019-04-24,83,52,2019-4611,28787.87,25497.83
2019-10-31,2020-02-12,104,52,2019-4953,26842.54,26842.54
2019-12-11,2019-12-16,5,52,2019-4994,19471.44,19471.44
2019-12-30,2020-05-19,141,52,2019-5017,19471.44,19471.44
2018-08-30,2018-12-23,115,52,2018/4408,34059.22,34059.22
2018-10-31,2018-11-11,11,52,2018/4484,34059.22,19518.55
2018-10-31,2019-02-12,104,52,2018/4484,34059.22,14540.67
2018-11-29,2019-02-14,77,52,2018/4515,34059.22,34059.22
2019-11-21,2020-02-12,83,52,2019-4965,25841.01,25841.01
2019-02-28,2019-07-11,133,52,2019-4652,15015.46,15015.46
2018-08-08,2018-09-17,40,52,2018/4387,26416.38,26416.38
2018-08-08,2018-09-17,40,52,2018/4388,26416.38,26416.38
2018-10-31,2018-12-23,53,52,2018/4486,26416.38,26416.38
2019-02-28,2019-07-11,133,52,2019-4650,12736.3,12736.3
2019-09-23,2019-10-17,24,52,2019-4894,12736.3,12736.3
2019-12-09,2020-05-19,162,52,2019-4990,11758.08,11758.08
2019-07-31,2019-11-25,117,52,2019-4838,5581.68,5581.68
2019-05-05,2019-07-10,66,52,2019-4734,5497.8,5497.8
2019-08-29,2019-11-25,88,52,2019-4872,5497.8,5497.8
2019-08-29,2019-11-25,88,52,2019-4880,12745.38,12745.38
2019-10-17,2020-02-12,118,52,2019-4927,12745.38,12745.38
2016-03-30,2016-03-30,0,53,2016/2998,318636.94,8284.56
2016-03-30,2016-12-29,274,53,2016/2998,318636.94,15173.19
2016-03-30,2016-12-29,274,53,2016/2998,318636.94,295179.19
2016-02-29,2016-05-15,76,53,2016/2934,275567.13,275567.13
2015-12-31,2016-03-22,82,53,2015/2818,180930.41,2375.62
2015-12-31,2016-03-22,82,53,2015/2818,180930.41,178554.79
2016-01-20,2016-05-15,116,53,2016/2853,121661.69,2390.21
2016-01-20,2016-05-15,116,53,2016/2853,121661.69,119271.48
2018-07-05,2019-07-16,376,54,2018/4341,343786.46,288492.14
2018-07-05,2019-07-16,376,54,2018/4341,343786.46,55294.33
2019-07-16,2019-08-29,44,54,2019-4814,204634.61,204634.61
2023-08-11,2023-09-14,34,55,2023-6510,296174.37,296174.37
2023-07-31,2023-09-07,38,55,2023-6488,301771.63,301771.63
2023-06-21,2023-07-04,13,55,2023-6444,266335.49,266335.49
2023-10-31,2023-11-16,16,55,2023-6608,137090.6,137090.6
2023-11-17,2024-01-02,46,55,2023-6628,137090.6,137090.6
2019-05-30,2019-11-28,182,56,2019-4773,35526.06,35526.06
2016-03-31,2016-05-23,53,57,2016/2984,392372.84,392372.84
2015-11-30,2016-02-22,84,57,2015/2750,171218.11,171218.11
2015-10-29,2016-01-12,75,57,2015/2676,137317.5,137317.5
2015-12-31,2016-03-30,90,57,2015/2806,134525.13,134525.13
2016-02-29,2016-04-21,52,57,2016/2915,88230.82,88230.82
2016-08-31,2016-11-01,62,57,2016/3224,138367.29,138367.29
2016-04-30,2016-06-30,61,57,2016/3035,115435.74,115435.74
2016-07-31,2016-09-29,60,57,2016/3182,147214.0,147214.0
2016-09-30,2016-11-28,59,57,2016/3276,107567.02,107567.02
2015-09-30,2015-12-29,90,57,2015/2657,133180.58,133180.58
2016-05-31,2016-08-10,71,57,2016/3081,62868.0,62868.0
2016-01-31,2016-04-05,65,57,2016/2858,106508.47,106508.47
2016-11-30,2017-01-31,62,57,2016/3395,99340.47,99340.47
2016-10-31,2016-12-29,59,57,2016/3322,86499.06,86499.06
2016-06-30,2016-09-29,91,57,2016/3140,106113.14,106113.14
2016-12-29,2017-03-06,67,57,2016/3438,30394.5,30394.5
2017-08-30,2017-12-19,111,57,2017/3866,28441.85,28441.85
2015-08-31,2015-10-22,52,57,2015/2572,26916.62,26916.62
2018-05-31,2019-04-03,307,57,2018/4279,22790.48,87.01
2018-05-31,2019-04-03,307,57,2018/4279,22790.48,22703.47
2017-06-28,2017-12-19,174,57,2017/3746,12284.01,12284.01
2018-04-30,2018-05-14,14,57,2018/4244,12518.76,11922.61
2018-04-30,2018-05-20,20,57,2018/4244,12518.76,596.15
2018-03-29,2018-05-14,46,57,2018/4216,8049.95,7666.63
2018-03-29,2018-05-20,52,57,2018/4216,8049.95,383.32
2018-03-29,2018-05-14,46,57,2018/4216,8049.95,7666.63
2018-03-29,2018-05-20,52,57,2018/4216,8049.95,383.32
2017-09-28,2018-05-14,228,57,2017/3910,10445.28,10445.28
2017-01-31,2017-05-02,91,57,2017/3485,15084.78,15084.78
2017-07-31,2017-12-19,141,57,2017/3803,10175.18,10175.18
2017-02-28,2017-05-02,63,57,2017/3537,14202.63,14202.63
2016-12-31,2016-12-31,0,58,JV161258,54120.07,70.35
2016-12-31,2016-12-31,0,58,JV161258,54120.07,259.78
2016-12-31,2016-12-31,0,58,JV161258,54120.07,26800.25
2016-12-31,2016-12-31,0,58,JV161258,54120.07,26989.68
2016-12-31,2016-12-31,0,58,JV161258,54120.07,54120.07
2017-10-31,2019-04-30,546,59,2017/3977,197873.93,197873.93
2017-05-30,2019-04-30,700,59,2017/3714,185172.92,185172.92
2017-05-30,2019-04-30,700,59,2017/3714,142758.51,142758.51
2019-05-30,2019-09-12,105,59,2019-4753,52166.7,52166.7
2019-05-30,2019-09-12,105,59,2019-4753,51282.74,51282.74
2017-10-04,2017-11-01,28,60,2017/3937,1269337.54,1269337.54
2017-09-24,2017-10-04,10,60,2017/3909,462824.16,462824.16
2017-07-18,2017-09-24,68,60,2017/3797,453143.43,453143.43
2017-09-24,2017-10-04,10,60,2017/3909,192921.83,192921.83
2017-09-24,2017-10-04,10,60,2017/3909,169898.08,169898.08
2017-07-18,2017-09-24,68,60,2017/3797,175937.64,175937.64
2017-09-24,2017-10-04,10,60,2017/3909,127360.07,127360.07
2017-07-18,2017-09-24,68,60,2017/3797,89648.81,89648.81
2017-07-31,2017-09-24,55,60,2017/3821Rev1,136263.65,136263.65
2017-09-24,2017-10-04,10,60,2017/3909,107074.02,107074.02
2017-09-24,2017-10-04,10,60,2017/3909,84851.53,28510.11
2017-09-24,2017-10-04,10,60,2017/3909,84851.53,791.96
2017-09-24,2017-10-04,10,60,2017/3909,84851.53,17818.82
2017-09-24,2017-10-04,10,60,2017/3909,84851.53,37730.65
2017-12-31,2018-02-20,51,60,2017/4064,39081.0,39081.0
2017-07-18,2017-09-24,68,60,2017/3797,67016.63,67016.63
2017-07-31,2017-09-24,55,60,2017/3818,51436.26,51436.26
2017-09-24,2017-10-04,10,60,2017/3909,53813.13,53813.13
2017-09-24,2017-10-04,10,60,2017/3909,36870.97,36870.97
2017-09-24,2017-10-04,10,60,2017/3909,15362.12,15362.12
2017-07-31,2017-09-24,55,60,2017/3818,15575.82,15575.82
2017-07-31,2017-09-24,55,60,2017/3818,7736.87,7736.87
2013-11-30,2015-07-31,608,61,2013/892-A,196863.87,4917.58
2013-11-30,2015-07-31,608,61,2013/892-A,196863.87,8.04
2013-11-30,2016-10-11,1046,61,2013/892-A,196863.87,4917.58
2013-11-30,2015-07-31,608,61,2013/892-B,196863.87,4917.58
2013-11-30,2015-07-31,608,61,2013/892-B,196863.87,8.04
2013-11-30,2016-10-11,1046,61,2013/892-B,196863.87,4917.58
2014-07-30,2015-04-02,246,61,2014/971,196863.87,47.08
2014-07-30,2015-07-31,366,61,2014/971,196863.87,7.31
2014-07-30,2015-07-31,366,61,2014/971,196863.87,4917.58
2014-07-30,2015-12-31,519,61,2014/971,196863.87,0.73
2014-07-30,2015-04-02,246,61,2014/971,196863.87,186973.6
2014-07-30,2016-10-11,804,61,2014/971,196863.87,4917.58
2015-07-30,2015-12-31,154,61,2015/2541,224497.15,224497.15
2013-04-22,2015-07-31,830,61,2013/830,233915.74,5843.11
2013-04-22,2015-07-31,830,61,2013/830,233915.74,9.56
2013-04-22,2016-10-11,1268,61,2013/830,233915.74,5638.87
2013-04-22,2016-10-11,1268,61,2013/830,233915.74,204.24
2016-09-08,2016-10-11,33,61,2016/3264,171306.15,162740.84
2015-12-31,2015-12-31,0,61,AJE151204,68618.04,29407.37
2015-12-31,2015-12-31,0,61,AJE151204,68618.04,1564.87
2015-12-31,2015-12-31,0,61,AJE151204,68618.04,18822.9
2015-12-31,2015-12-31,0,61,AJE151204,68618.04,18822.9
2015-10-20,2015-10-20,0,61,2015/2669,33729.28,2720.72
2015-10-20,2015-10-20,0,61,2015/2669,33729.28,12104.73
2015-10-20,2016-01-17,89,61,2015/2669,33729.28,18903.83
2015-05-31,2015-09-27,119,61,2015/2419,16575.03,53.34
2015-05-31,2015-09-27,119,61,2015/2419,16575.03,44.44
2015-05-31,2015-09-28,120,61,2015/2419,16575.03,16477.26
2014-09-30,2015-02-04,127,61,2014/996,27356.3,186.85
2014-09-30,2015-02-04,127,61,2014/996,27356.3,27169.45
2016-02-29,2016-03-13,13,61,2016/2936,25643.21,355.4
2016-02-29,2016-02-29,0,61,2016/2936,25643.21,6218.69
2016-02-29,2016-02-29,0,61,2016/2936,25643.21,102.79
2016-02-29,2016-03-13,13,61,2016/2936,25643.21,14354.57
2016-02-29,2016-03-13,13,61,2016/2936,25643.21,355.4
2016-02-29,2016-03-13,13,61,2016/2936,25643.21,14354.57
2015-07-30,2015-09-28,60,61,2015/2530,24925.48,24925.48
2016-09-08,2016-10-11,33,61,2016/3265,27385.75,27385.75
2015-12-21,2015-12-21,0,61,2015/2792,8432.39,1488.47
2015-12-21,2015-12-21,0,61,2015/2792,8432.39,94.32
2015-12-21,2016-01-17,27,61,2015/2792,8432.39,871.5
2015-12-21,2016-01-17,27,61,2015/2792,8432.39,5978.09
2015-08-06,2015-08-06,0,61,2015/2550,10389.5,9077.56
2015-08-06,2016-01-17,164,61,2015/2550,10389.5,1311.94
2015-08-06,2016-01-17,164,61,2015/2550,19663.6,19663.6
2015-12-31,2016-04-21,112,61,CRN 2015/026,14044.97,14044.97
2016-10-30,2016-12-16,47,61,2016/3324,10343.69,161.74
2016-10-30,2016-12-16,47,61,2016/3324,10343.69,10181.95
2016-11-30,2017-01-11,42,61,2016/3404,10343.69,161.74
2016-11-30,2017-01-11,42,61,2016/3404,10343.69,10181.95
2016-12-29,2017-10-04,279,61,2016/3429,10343.69,161.74
2016-12-29,2017-10-04,279,61,2016/3429,10343.69,10181.95
2022-03-31,2022-12-31,275,62,2022-5852,18098.77,18098.77
2017-12-27,2018-07-01,186,63,2017/4066,112111.55,112111.55
2017-09-30,2018-02-11,134,63,2017/3918,78507.26,78507.26
2017-09-30,2017-12-18,79,63,2017/3920,72538.58,72538.58
2017-09-30,2018-07-01,274,63,2017/3919,26613.89,26613.89
